term,counts
coronavirus,28120854
covid19,8630451
covid,8171888
19,7903151
nan,3888201
people,2645140
via,2321653
china,2225140
amp,2143277
trump,2038513
virus,1981017
pandemic,1892506
us,1818020
cases,1770892
new,1749204
news,1414179
like,1328977
get,1314001
wuhan,1251371
one,1173476
health,1162763
di,1129396
world,1106806
si,1106113
time,1091634
il,1006991
help,987525
crisis,963846
home,954268
need,942162
outbreak,913769
000,876045
know,862126
corona,853021
deaths,852960
et,844720
please,838911
would,836827
realdonaldtrump,828757
covid_19,800788
2020,797861
lockdown,793788
spread,773385
due,767172
could,757953
first,749898
des,747015
go,728721
stay,723371
da,716305
see,708978
death,708816
na,705361
government,698900
du,694239
says,690182
going,686342
good,683730
est,682782
die,678148
per,670573
test,668475
casos,668025
positive,663324
day,657638
take,657384
work,637934
may,637901
many,634869
still,629038
even,621864
think,596459
today,596179
country,582994
state,568952
make,568562
hospital,564397
pour,563000
stop,559962
live,558318
right,554297
response,551727
10,539707
patients,539157
testing,538644
let,529059
fight,528035
back,525611
uk,523933
chinese,522967
also,520897
well,518664
social,516829
care,513124
said,512203
covidー19,511006
re,510968
support,507690
president,504656
say,500720
really,492060
total,490228
way,484446
case,484300
global,480623
non,480473
youtube,479475
confirmed,479191
want,476062
pas,462871
public,456249
read,456015
got,454244
india,451271
much,447976
amid,446287
the,445973
days,444604
come,444528
keep,443500
everyone,440243
quarantine,438200
times,434388
flu,434020
video,430547
latest,429969
tests,429284
workers,427454
man,423662
italy,417007
20,409079
last,408832
great,408529
safe,406586
update,405850
every,404146
medical,401303
pandemia,400213
tested,399662
media,397046
dan,394396
must,394349
au,390341
real,389855
two,385679
vía,382633
life,382061
gt,381477
year,374228
daily,372820
une,370370
thank,370292
hope,368571
face,366441
business,366388
dr,365166
week,365129
number,362738
che,361837
coronaviruspandemic,361662
infected,359471
com,358737
va,357523
em,352055
americans,346171
use,345981
free,345701
qui,342953
getting,342914
thanks,341967
sur,340787
america,340335
mundo,338701
gobierno,338250
made,337974
covid2019,337554
god,337429
around,333953
salud,331286
risk,330018
working,329904
family,329501
usa,328435
look,327628
não,325887
economy,325225
twitter,323538
vaccine,320756
ser,320538
countries,319564
york,318542
casa,318192
lives,318156
gente,318102
states,317335
updates,317123
mais,316664
money,315493
sa,315129
true,314465
million,314409
100,314402
better,314015
país,313424
never,313085
dans,310803
ne,310675
thing,309544
weeks,308677
april,308122
emergency,307956
eu,307590
died,307549
24,306586
next,305796
cuarentena,305637
call,305144
disease,304553
already,303649
another,302958
watch,302781
data,301843
ca,301379
best,301017
30,299483
plus,299247
post,298736
house,298404
symptoms,298390
masks,296078
since,294789
give,294508
je,293073
information,291061
to,289993
15,287386
coronavirusoutbreak,286092
ce,283609
caso,282609
italia,282241
personas,281488
end,281359
love,277806
travel,276738
check,275124
long,274654
city,273248
france,270564
anyone,269727
march,269722
impact,268749
show,267994
online,266735
bill,265799
ve,265796
protect,264754
food,264472
plan,264238
doctors,263756
toll,262788
sick,261838
person,261287
things,261248
situation,261196
put,261044
self,260939
stayhome,260779
breaking,260676
solo,259835
needs,259122
ahora,259054
yet,258658
without,258066
away,257746
far,256786
12,256547
big,255337
shit,255299
staff,255100
someone,254425
11,253160
done,252114
taking,251738
14,251337
medidas,251275
rate,250510
españa,250407
sure,250135
trying,248676
cnn,247665
old,247267
community,246231
distancing,245775
report,245727
something,245493
south,245179
job,245178
der,244643
van,244475
yang,244124
find,243885
par,243107
open,242562
rt,242116
vous,241759
bad,241665
reported,241506
app,240307
important,238627
reports,238509
might,238313
part,237165
in,236715
hands,236568
control,235816
article,235505
hit,235322
american,235074
together,234573
pm,233243
doctor,233187
bien,232619
cdc,232592
start,231773
making,231616
nothing,230951
um,230948
years,230407
novel,230335
numbers,229925
officials,229744
coming,229001
spreading,228399
hoy,227661
national,227559
top,227471
using,226253
believe,226146
así,225606
dos,225205
place,224333
pay,223988
change,222541
enough,222491
hospitals,222432
tell,221785
share,220402
fuck,220155
county,218957
others,218947
human,218314
cause,218117
mas,217381
50,216704
iran,216295
close,215508
save,215440
local,214915
story,214125
relief,213281
yes,212140
oh,212086
economic,211802
high,211012
sign,210273
follow,209986
measures,209621
saying,209465
healthcare,209376
ever,209295
ai,208574
2019,208330
und,207685
nhs,206281
día,205112
full,204276
puede,204153
team,202018
mask,201832
everything,201476
and,201222
feel,201082
fake,200905
soon,200219
govt,199959
treatment,199940
order,199878
cure,199847
patient,199607
das,199230
lot,198706
months,198681
least,197668
qu,196665
white,195755
muertos,195580
possible,195371
presidente,195004
hacer,194767
market,194504
bbc,193711
actually,193417
untuk,193278
infection,193271
point,193178
experts,192955
sars,191611
system,191060
school,190919
hard,189555
businesses,188734
always,188698
dead,188470
ver,188248
stayathome,188143
nous,188035
maybe,187937
across,187928
fears,187851
info,186557
called,185891
fucking,183815
kill,183689
18,183682
thought,183334
korea,182675
ll,182564
minister,182285
anything,182062
contact,180811
panic,180581
friends,180283
told,179399
whole,179097
de,178657
coronavírus,178523
avec,177670
link,177067
fear,177047
días,177044
oms,176873
it,176378
month,176310
het,175979
continue,175678
25,175187
13,175100
confinement,175049
closed,174993
cómo,173755
ini,172712
this,171151
hace,171036
war,170807
police,170518
ago,170478
worse,169655
no,169000
etc,168785
advice,168381
united,168375
population,168139
gov,168109
air,167443
méxico,166387
little,165926
less,165687
wrong,165575
hand,165572
hours,165073
japan,164834
कर,164056
ou,163294
small,163247
isolation,163103
gon,163092
17,163071
used,162681
students,162143
16,161723
act,161348
questions,161313
makes,160427
dying,160053
of,160051
canada,159800
shut,159766
europe,159464
21,159392
early,159196
sont,159127
looking,158879
cas,158148
force,157986
tweet,157286
prevent,156362
likely,155942
research,155897
dies,155348
fact,154646
donald,154619
including,154576
nuevo,154175
children,154038
shows,154032
el,153548
menos,153498
epidemic,153481
service,153320
fighting,153082
recovered,152789
nation,152515
related,152447
gop,152302
affected,152063
pneumonia,151853
serious,151806
action,151768
join,151675
brasil,151320
500,151208
narendramodi,151014
primer,150699
found,150648
personal,150307
gracias,149829
ça,149751
essential,149730
cruise,149521
citizens,149455
africa,149422
johnson,149243
truth,149188
leave,148870
gets,148134
petition,148012
mean,147995
seen,147938
three,147672
federal,147533
left,147479
current,147421
available,147404
listen,147385
wait,147221
remember,146857
question,146829
services,146707
governor,146677
drug,146518
press,145955
normal,145748
nuevos,145723
study,145706
idea,145270
learn,145044
started,144890
lost,144784
second,144262
ship,144227
uma,144092
positivo,143976
understand,143757
boris,143581
else,143515
thread,142634
años,142560
potus,142511
deal,142472
millions,142232
ng,142200
threat,142076
stupid,142045
yg,140997
schools,140942
all,140883
kids,140800
ok,140563
ask,140037
party,140030
we,139978
instead,139889
mayor,139879
talk,139761
try,139349
40,139281
seriously,139087
ppe,138915
aquí,138797
coronavirusupdate,138722
lol,138695
science,138643
on,138633
tv,138520
safety,137894
quedateencasa,137799
outside,137408
muertes,137348
leaders,137331
im,137301
needed,137210
nigeria,137102
australia,136910
la,136665
seems,136539
venezuela,135772
infections,135550
mil,135411
contagio,135279
hear,135218
thousands,135066
problem,135064
california,134938
deadly,134400
vida,134191
wo,134126
talking,133841
concerns,133810
you,133549
democrats,133463
anti,133444
wants,133349
mal,133208
line,133199
taken,132988
stock,132800
worst,132709
companies,132653
different,132562
families,132445
administration,132345
href,132203
despite,132187
pra,132151
name,132071
aux,131965
hoax,131873
set,131849
rel,131764
is,131394
employees,131307
nofollow,131257
group,131142
probably,130569
able,130405
sad,129914
en,129878
morning,129871
means,129213
low,129162
general,128480
wow,128307
ils,128289
become,128258
vote,128131
22,127823
message,127820
political,127758
official,127758
future,127747
worldwide,127627
mejor,127425
web,127171
rest,127138
lab,126615
briefing,126414
provide,126366
florida,126307
fox,126298
reason,126086
60,126054
avoid,126016
socialdistancing,125938
facebook,125532
contre,125496
scientists,125077
ready,124664
leadership,124548
rise,124475
office,124423
dice,124383
argentina,124265
kita,123625
tan,123309
guys,123147
industry,123002
tem,123000
efforts,122812
sono,122589
ist,122328
ang,122142
washington,122111
restrictions,121968
nyc,121869
based,121554
fauci,121470
helping,121385
cada,121284
pacientes,121192
stimulus,121182
23,120868
200,120736
03,120441
vez,120434
company,120329
foxnews,120131
power,119881
fund,119695
información,119676
dangerous,119665
came,119479
hey,119375
given,119271
google,119196
members,119003
sir,118813
hi,118781
blame,118694
dari,118503
casi,118495
calling,118308
nurses,118279
lies,118274
spain,118065
moment,117779
front,117600
buy,117513
resources,117421
vamos,117327
behind,117322
della,117291
indonesia,117278
happy,117213
guy,117147
calls,116989
almost,116866
comes,116615
according,116599
increase,116467
mundial,116409
países,116404
ke,116300
wash,116221
spreads,116206
issues,116204
markets,115990
healthy,115601
san,115274
financial,114951
list,114899
visit,114872
ont,114760
looks,114481
past,114444
hold,114064
tener,114034
yesterday,113895
den,113809
poor,113231
un,113209
supplies,113193
for,113130
wuhanvirus,113045
sense,113016
zero,112988
dengan,112981
00,112952
woman,112810
ppl,112615
vs,112612
favor,112173
negative,112098
international,111970
play,111876
confirmados,111796
bir,111795
living,111692
demand,111519
kits,110864
germany,110715
staysafe,110714
run,110586
mass,110578
area,110396
crise,110266
cancelled,110266
leader,110239
dia,110161
chief,109781
aid,109773
evitar,109724
पर,109722
रह,109682
número,109676
vulnerable,109537
billion,109483
momento,109406
infectados,109324
black,109236
thinking,109077
tout,109059
source,108962
interesting,108547
fallecidos,108514
giving,108464
send,108394
happen,108103
though,108063
following,107980
pa,107961
inside,107922
goes,107897
faire,107849
vai,107796
especially,107723
sorry,107560
course,107263
plans,107253
critical,107192
bring,107047
warns,106986
residents,106982
went,106915
tiempo,106774
law,106571
women,106536
killed,106535
fait,106507
damn,106462
noticias,106336
dont,105946
took,105869
common,105825
night,105672
heart,105409
issue,105384
que,105189
80,105141
key,104905
immune,104691
single,104627
bu,104583
light,104538
ones,104537
biden,104496
racist,104413
funding,104048
history,103892
cut,103628
paper,103583
access,103292
hell,103274
finally,103236
center,103193
mata,103056
announced,103054
emergencia,102737
package,102729
coronaoutbreak,102683
mit,102619
kind,102544
claims,102404
late,102236
website,102165
university,102165
être,102161
ways,102134
facts,101908
reporting,101814
dalam,101768
congress,101247
task,101203
slow,101177
situación,100884
heard,100883
reuters,100865
major,100851
head,100742
pakistan,100660
caused,100614
5g,100557
details,100498
sent,100496
knew,100452
move,100401
parte,100187
results,100150
supply,100067
wonder,99869
ass,99841
millones,99643
imagine,99636
causa,99636
jobs,99611
nytimes,99442
treat,99384
asked,99366
homes,99301
viral,99230
frente,99221
hate,99197
ada,99145
body,99132
worried,99068
zu,98968
70,98966
donate,98940
ban,98934
ventilators,98912
nicht,98870
quarantined,98818
dios,98762
season,98733
colombia,98536
special,98531
después,98218
04,98198
happening,98104
comment,98091
madrid,97980
date,97931
among,97900
allah,97885
ta,97786
takes,97710
ny,97523
flights,97397
break,97302
clear,97237
higher,97227
gates,97142
conference,97116
recovery,96774
combat,96770
huge,96714
pruebas,96634
release,96617
entire,96593
blood,96414
più,96256
expert,96084
level,96054
stand,96047
continues,95994
er,95946
met,95890
game,95722
médicos,95712
tips,95442
toda,95260
matter,95228
age,95220
wish,95203
mind,95062
ko,95031
water,95025
friday,94740
ao,94708
trust,94653
pass,94492
tous,94475
hydroxychloroquine,94412
guess,94400
apple,94277
ir,94143
lack,94117
contagios,94082
confirms,93959
currently,93838
asking,93826
27,93813
और,93705
28,93669
orders,93572
26,93530
cuba,93497
january,93333
cover,93329
cette,93189
agree,93185
pray,92846
evidence,92707
31,92650
indian,92620
bolsonaro,92524
parents,92379
responsible,92348
up,92318
mental,92162
โคว,91920
lead,91871
dear,91809
oil,91633
mr,91558
society,91450
running,91288
amazon,91258
keeping,91153
marzo,91035
von,90938
